station,raw_metar,datetime_scraped,observed,temperature,dewpoint,wind_speed,wind_direction,visibility,altimeter,flight_rules
SPQU,SPQU 120100Z 08006KT CAVOK 16/03 Q1029 RMK PP000,2025-05-12 01:48:50.506405,2025-05-12T01:00:00Z,16,3,6,80.0,9999,1029,VFR
SPJC,SPJC 120100Z 18006KT 9999 FEW005 BKN009 18/15 Q1013 BECMG SCT009 RMK PP000,2025-05-12 01:48:50.984181,2025-05-12T01:00:00Z,18,15,6,180.0,9999,1013,IFR
SPRU,SPRU 120100Z 14009KT 8000 FEW080 18/16 Q1012 RMK PP000,2025-05-12 01:48:51.406051,2025-05-12T01:00:00Z,18,16,9,140.0,8000,1012,MVFR
SPZO,SPZO 120130Z VRB02KT 9999 NSC 11/03 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 01:48:51.870552,2025-05-12T01:30:00Z,11,3,2,,9999,1035,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 02:10:15.875459,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 02:10:16.348916,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 02:10:16.778599,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120200Z 10004KT 9999 NSC 10/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 02:10:17.218514,2025-05-12T02:00:00Z,10,4,4,100.0,9999,1036,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 02:20:18.161615,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 02:20:18.637248,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 02:20:19.064660,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120200Z 10004KT 9999 NSC 10/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 02:20:19.502623,2025-05-12T02:00:00Z,10,4,4,100.0,9999,1036,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 02:30:20.431438,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 02:30:20.851301,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 02:30:21.265536,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120230Z VRB02KT 9999 NSC 11/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 02:30:21.820305,2025-05-12T02:30:00Z,11,3,2,,9999,1036,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 02:40:22.785972,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 02:40:23.243013,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 02:40:23.711092,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120230Z VRB02KT 9999 NSC 11/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 02:40:24.161207,2025-05-12T02:30:00Z,11,3,2,,9999,1036,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 02:50:25.072909,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 02:50:25.512741,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 02:50:25.995128,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120230Z VRB02KT 9999 NSC 11/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 02:50:26.408024,2025-05-12T02:30:00Z,11,3,2,,9999,1036,VFR
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000,2025-05-12 03:00:27.310483,2025-05-12T02:00:00Z,18,2,2,,9999,1029,VFR
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000,2025-05-12 03:00:27.735539,2025-05-12T02:00:00Z,18,16,9,160.0,9999,1014,VFR
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000,2025-05-12 03:00:28.217569,2025-05-12T02:00:00Z,18,16,6,140.0,8000,1013,MVFR
SPZO,SPZO 120230Z VRB02KT 9999 NSC 11/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 03:00:28.639375,2025-05-12T02:30:00Z,11,3,2,,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:10:29.558566,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:10:30.113044,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:10:30.556671,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120300Z 27004KT 9999 NSC 09/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 03:10:30.994395,2025-05-12T03:00:00Z,9,3,4,270,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:20:31.892001,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:20:32.372908,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:20:32.860941,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120300Z 27004KT 9999 NSC 09/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 03:20:33.288253,2025-05-12T03:00:00Z,9,3,4,270,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:30:34.219876,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:30:34.647579,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:30:35.068381,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 03:30:35.677056,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:40:36.573481,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:40:37.036637,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:40:37.466586,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 03:40:37.888523,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:50:38.822461,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:50:39.287158,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:50:39.707372,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 03:50:40.188286,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 04:00:41.136405,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:00:41.596428,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 04:00:42.100618,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:00:42.574237,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:10:43.498805,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:10:44.034033,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:10:44.517684,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120400Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 04:10:44.943545,2025-05-12T04:00:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:20:45.832505,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:20:46.321530,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:20:46.821680,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120400Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 04:20:47.241750,2025-05-12T04:00:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:30:48.217183,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:30:48.820904,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:30:49.256811,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120430Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:30:49.979700,2025-05-12T04:30:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:40:50.899433,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:40:51.386634,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:40:51.883706,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120430Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:40:52.325183,2025-05-12T04:30:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:50:53.240913,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:50:53.701890,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:50:54.204474,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120430Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:50:54.653649,2025-05-12T04:30:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 140300Z 02003KT 330V080 CAVOK 15/01 Q1027 NOSIG RMK PP000,2025-05-14 03:20:26.201359,2025-05-14T03:00:00Z,15,1,3,20,9999,1027,VFR
SPJC,SPJC 140300Z 17009KT 8000 BKN008 18/15 Q1012 NOSIG RMK PP000,2025-05-14 03:20:26.692908,2025-05-14T03:00:00Z,18,15,9,170,8000,1012,IFR
SPRU,SPRU 140300Z 15004KT 3000 BR NSC 18/16 Q1012 RMK PP000,2025-05-14 03:20:27.214246,2025-05-14T03:00:00Z,18,16,4,150,3000,1012,IFR
SPZO,SPZO 140300Z 00000KT 9999 NSC 08/M01 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-14 03:20:27.707325,2025-05-14T03:00:00Z,8,-1,0,0,9999,1033,VFR
SPQU,SPQU 140500Z 04004KT CAVOK 14/M01 Q1026 RMK PP000,2025-05-14 05:59:09.294720,2025-05-14T05:00:00Z,14,-1,4,40,9999,1026,VFR
SPRU,SPRU 140500Z 14003KT 110V170 5000 BR NSC 18/16 Q1013 RMK PP000,2025-05-14 05:59:09.788184,2025-05-14T05:00:00Z,18,16,3,140,5000,1013,MVFR
SPZO,SPZO 140530Z 06002KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 05:59:10.235754,2025-05-14T05:30:00Z,7,0,2,60,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 05:59:11.775592,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 140500Z 04004KT CAVOK 14/M01 Q1026 RMK PP000,2025-05-14 05:59:39.494574,2025-05-14T05:00:00Z,14,-1,4,40,9999,1026,VFR
SPRU,SPRU 140500Z 14003KT 110V170 5000 BR NSC 18/16 Q1013 RMK PP000,2025-05-14 05:59:40.009148,2025-05-14T05:00:00Z,18,16,3,140,5000,1013,MVFR
SPZO,SPZO 140530Z 06002KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 05:59:40.448521,2025-05-14T05:30:00Z,7,0,2,60,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 05:59:41.120395,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 140500Z 04004KT CAVOK 14/M01 Q1026 RMK PP000,2025-05-14 06:01:46.427371,2025-05-14T05:00:00Z,14,-1,4,40,9999,1026,VFR
SPRU,SPRU 140500Z 14003KT 110V170 5000 BR NSC 18/16 Q1013 RMK PP000,2025-05-14 06:01:46.864893,2025-05-14T05:00:00Z,18,16,3,140,5000,1013,MVFR
SPZO,SPZO 140530Z 06002KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 06:01:47.307559,2025-05-14T05:30:00Z,7,0,2,60,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 06:01:47.848649,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 140600Z 01004KT CAVOK 15/M00 Q1025 RMK PP000,2025-05-14 06:34:10.465556,2025-05-14T06:00:00Z,15,0,4,10,9999,1025,VFR
SPRU,SPRU 140600Z 12006KT 4000 BR NSC 18/16 Q1014 RMK PP000,2025-05-14 06:34:10.925530,2025-05-14T06:00:00Z,18,16,6,120,4000,1014,IFR
SPZO,SPZO 140600Z 09001KT 9999 NSC 06/M00 Q1033 NOSIG RMK PP000,2025-05-14 06:34:11.363489,2025-05-14T06:00:00Z,6,0,1,90,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 06:34:12.046428,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 140600Z 01004KT CAVOK 15/M00 Q1025 RMK PP000,2025-05-14 06:37:04.275493,2025-05-14T06:00:00Z,15,0,4,10,9999,1025,VFR
SPRU,SPRU 140600Z 12006KT 4000 BR NSC 18/16 Q1014 RMK PP000,2025-05-14 06:37:04.775842,2025-05-14T06:00:00Z,18,16,6,120,4000,1014,IFR
SPZO,SPZO 140600Z 09001KT 9999 NSC 06/M00 Q1033 NOSIG RMK PP000,2025-05-14 06:37:05.220407,2025-05-14T06:00:00Z,6,0,1,90,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 06:37:05.758247,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 140700Z 03004KT CAVOK 13/M00 Q1024 RMK PP000,2025-05-14 07:37:13.163447,2025-05-14T07:00:00Z,13,0,4,30,9999,1024,VFR
SPRU,SPRU 140700Z 12004KT 4000 BR SCT012 17/16 Q1013 RMK PP000,2025-05-14 07:37:13.642734,2025-05-14T07:00:00Z,17,16,4,120,4000,1013,IFR
SPZO,SPZO 140700Z 30002KT 9999 NSC 05/00 Q1033 NOSIG RMK PP000,2025-05-14 07:37:14.104688,2025-05-14T07:00:00Z,5,0,2,300,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 07:37:14.812393,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 140800Z 03004KT CAVOK 13/M00 Q1024 RMK PP000,2025-05-14 08:37:22.165255,2025-05-14T08:00:00Z,13,0,4,30,9999,1024,VFR
SPRU,SPRU 140800Z 11004KT 3000 BR NSC 17/16 Q1013 RMK PP000,2025-05-14 08:37:22.654708,2025-05-14T08:00:00Z,17,16,4,110,3000,1013,IFR
SPZO,SPZO 140800Z 10002KT 9999 NSC 05/00 Q1033 NOSIG RMK PP000,2025-05-14 08:37:23.090459,2025-05-14T08:00:00Z,5,0,2,100,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 08:37:23.608874,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 140900Z 01005KT CAVOK 14/M01 Q1024 RMK PP000,2025-05-14 09:37:31.054107,2025-05-14T09:00:00Z,14,-1,5,10,9999,1024,VFR
SPRU,SPRU 140900Z 12003KT 3000 BR NSC 17/16 Q1013 RMK PP000,2025-05-14 09:37:31.534901,2025-05-14T09:00:00Z,17,16,3,120,3000,1013,IFR
SPZO,SPZO 140900Z 11002KT 9999 FEW043 04/00 Q1033 NOSIG RMK PP000,2025-05-14 09:37:31.970151,2025-05-14T09:00:00Z,4,0,2,110,9999,1033,VFR
SPJR,SPJR 132300Z 11003KT 060V150 9999 FEW020 19/06 Q1024 RMK PP000,2025-05-14 09:37:32.523233,2025-05-13T23:00:00Z,19,6,3,110,9999,1024,VFR
SPQU,SPQU 141000Z 04004KT 010V090 CAVOK 11/M01 Q1024 RMK PP000,2025-05-14 10:37:39.909319,2025-05-14T10:00:00Z,11,-1,4,40.0,9999,1024,VFR
SPRU,SPRU 141000Z 14003KT 3000 BR NSC 18/16 Q1012 RMK PP000,2025-05-14 10:37:40.395750,2025-05-14T10:00:00Z,18,16,3,140.0,3000,1012,IFR
SPZO,SPZO 141030Z 00000KT 9999 FEW043 SCT080 03/00 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-14 10:37:40.841120,2025-05-14T10:30:00Z,3,0,0,0.0,9999,1034,VFR
SPJR,SPJR 141030Z VRB02KT CAVOK 06/06 Q1028,2025-05-14 10:37:41.287864,2025-05-14T10:30:00Z,6,6,2,,9999,1028,VFR
SPQU,SPQU 141100Z 36005KT CAVOK 13/M01 Q1025 RMK PP000,2025-05-14 11:37:48.792071,2025-05-14T11:00:00Z,13,-1,5,360.0,9999,1025,VFR
SPRU,SPRU 141100Z 17003KT 1600 BR NSC 17/16 Q1013 RMK PP000,2025-05-14 11:37:49.221885,2025-05-14T11:00:00Z,17,16,3,170.0,1600,1013,LIFR
SPZO,SPZO 141130Z 11003KT 070V130 9999 FEW043 SCT080 04/M00 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 11:37:49.645797,2025-05-14T11:30:00Z,4,0,3,110.0,9999,1034,VFR
SPJR,SPJR 141130Z VRB02KT CAVOK 06/05 Q1028,2025-05-14 11:37:50.083033,2025-05-14T11:30:00Z,6,5,2,,9999,1028,VFR
SPQU,SPQU 141200Z 05006KT CAVOK 15/M00 Q1025 NOSIG RMK TN 10.3 PP000,2025-05-14 12:37:57.630112,2025-05-14T12:00:00Z,15,0,6,50.0,9999,1025,VFR
SPRU,SPRU 141200Z 15003KT 2000 BR NSC 17/16 Q1013 RMK TN17.4 PP000,2025-05-14 12:37:58.086758,2025-05-14T12:00:00Z,17,16,3,150.0,2000,1013,IFR
SPZO,SPZO 141230Z VRB02KT 9999 FEW050 08/00 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 12:37:58.572082,2025-05-14T12:30:00Z,8,0,2,,9999,1035,VFR
SPJR,SPJR 141230Z VRB01KT CAVOK 11/06 Q1029,2025-05-14 12:37:59.017454,2025-05-14T12:30:00Z,11,6,1,,9999,1029,VFR
SPQU,SPQU 141300Z VRB02KT CAVOK 19/M00 Q1026 NOSIG RMK PP000,2025-05-14 13:38:06.559776,2025-05-14T13:00:00Z,19,0,2,,9999,1026,VFR
SPRU,SPRU 141300Z 15006KT 4000 BR BKN040 18/16 Q1014 RMK PP000,2025-05-14 13:38:07.000230,2025-05-14T13:00:00Z,18,16,6,150.0,4000,1014,IFR
SPZO,SPZO 141330Z VRB02KT 9999 NSC 12/01 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 13:38:07.432481,2025-05-14T13:30:00Z,12,1,2,,9999,1035,VFR
SPJR,SPJR 141330Z VRB01KT CAVOK 14/07 Q1029,2025-05-14 13:38:07.866813,2025-05-14T13:30:00Z,14,7,1,,9999,1029,VFR
SPQU,SPQU 141900Z 24009KT 210V300 CAVOK 21/01 Q1025 NOSIG RMK PP000,2025-05-14 19:57:12.461868,2025-05-14T19:00:00Z,21,1,9,240,9999,1025,VFR
SPRU,SPRU 141900Z 16010KT 8000 FEW060 20/16 Q1012 RMK PP000,2025-05-14 19:57:12.941807,2025-05-14T19:00:00Z,20,16,10,160,8000,1012,MVFR
SPZO,SPZO 141930Z 29005KT 200V340 9999 FEW060 22/M02 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 19:57:13.375936,2025-05-14T19:30:00Z,22,-2,5,290,9999,1029,VFR
SPJR,SPJR 141930Z 15010KT 110V180 9999 SCT020 24/06 Q1024,2025-05-14 19:57:13.850182,2025-05-14T19:30:00Z,24,6,10,150,9999,1024,VFR
SPQU,SPQU 142000Z 26009KT 200V290 CAVOK 20/01 Q1025 NOSIG RMK PP000,2025-05-14 20:57:22.339247,2025-05-14T20:00:00Z,20,1,9,260.0,9999,1025,VFR
