station,raw_metar,datetime_scraped,observed,temperature,dewpoint,wind_speed,wind_direction,visibility,altimeter,flight_rules
SPRU,SPRU 142000Z 16009KT 8000 NSC 21/16 Q1011 RMK PP000,2025-05-14 20:57:22.831285,2025-05-14T20:00:00Z,21,16,9,160.0,8000,1011,MVFR
SPZO,SPZO 142030Z VRB02KT 9999 FEW060 21/M01 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 20:57:23.293211,2025-05-14T20:30:00Z,21,-1,2,,9999,1028,VFR
SPJR,SPJR 142030Z 07004KT 020V130 9999 SCT020 22/09 Q1023,2025-05-14 20:57:23.734197,2025-05-14T20:30:00Z,22,9,4,70.0,9999,1023,VFR
SPQU,SPQU 142100Z 25007KT 210V290 CAVOK 19/04 Q1025 NOSIG RMK PP000,2025-05-14 21:57:31.210891,2025-05-14T21:00:00Z,19,4,7,250,9999,1025,VFR
SPRU,SPRU 142100Z 16010KT 8000 NSC 20/16 Q1010 RMK PP000,2025-05-14 21:57:31.692059,2025-05-14T21:00:00Z,20,16,10,160,8000,1010,MVFR
SPZO,SPZO 142130Z 04005KT 320V100 9999 FEW060 20/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 21:57:32.136975,2025-05-14T21:30:00Z,20,2,5,40,9999,1028,VFR
SPJR,SPJR 142130Z 17008KT 9999 SCT020 21/10 Q1023,2025-05-14 21:57:32.569116,2025-05-14T21:30:00Z,21,10,8,170,9999,1023,VFR
SPQU,SPQU 142200Z 28006KT CAVOK 16/06 Q1026 NOSIG RMK TX 22.6 PP000,2025-05-14 22:57:39.996415,2025-05-14T22:00:00Z,16,6,6,280,9999,1026,VFR
SPRU,SPRU 142200Z 16009KT 7000 NSC 19/16 Q1011 RMK TX20.3 PP000,2025-05-14 22:57:40.502541,2025-05-14T22:00:00Z,19,16,9,160,7000,1011,MVFR
SPZO,SPZO 142230Z 07004KT 360V140 9999 NSC 17/03 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 22:57:40.925170,2025-05-14T22:30:00Z,17,3,4,70,9999,1029,VFR
SPJR,SPJR 142230Z 12006KT 9999 FEW020 18/10 Q1024,2025-05-14 22:57:41.431160,2025-05-14T22:30:00Z,18,10,6,120,9999,1024,VFR
SPQU,SPQU 142300Z 27006KT CAVOK 14/06 Q1027 NOSIG RMK PP000,2025-05-14 23:57:49.035236,2025-05-14T23:00:00Z,14,6,6,270,9999,1027,VFR
SPRU,SPRU 142300Z 15009KT 6000 FEW150 19/16 Q1011 RMK PP000,2025-05-14 23:57:49.551180,2025-05-14T23:00:00Z,19,16,9,150,6000,1011,MVFR
SPZO,SPZO 142330Z 06005KT 030V130 9999 NSC 15/03 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-14 23:57:49.994779,2025-05-14T23:30:00Z,15,3,5,60,9999,1030,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-14 23:57:50.496434,2025-05-14T23:00:00Z,17,10,7,130,9999,1024,VFR
SPQU,SPQU 150000Z 00000KT CAVOK 13/06 Q1027 NOSIG RMK PP000,2025-05-15 00:57:57.909566,2025-05-15T00:00:00Z,13,6,0,0,9999,1027,VFR
SPRU,SPRU 150000Z 14007KT 4000 BR FEW150 18/17 Q1011 RMK PP000,2025-05-15 00:57:58.413233,2025-05-15T00:00:00Z,18,17,7,140,4000,1011,IFR
SPZO,SPZO 150030Z 09003KT 050V120 9999 NSC 12/04 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 00:57:58.893539,2025-05-15T00:30:00Z,12,4,3,90,9999,1031,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 00:57:59.568376,2025-05-14T23:00:00Z,17,10,7,130,9999,1024,VFR
SPQU,SPQU 150100Z 09004KT CAVOK 12/06 Q1027 NOSIG RMK PP000,2025-05-15 01:58:06.965560,2025-05-15T01:00:00Z,12,6,4,90.0,9999,1027,VFR
SPRU,SPRU 150100Z 14007KT 4300 BR NSC 19/16 Q1012 RMK PP000,2025-05-15 01:58:07.451727,2025-05-15T01:00:00Z,19,16,7,140.0,4300,1012,IFR
SPZO,SPZO 150130Z VRB01KT 9999 NSC 11/04 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 01:58:07.897054,2025-05-15T01:30:00Z,11,4,1,,9999,1032,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 01:58:08.526133,2025-05-14T23:00:00Z,17,10,7,130.0,9999,1024,VFR
SPQU,SPQU 150100Z 09004KT CAVOK 12/06 Q1027 NOSIG RMK PP000,2025-05-15 02:01:01.634541,2025-05-15T01:00:00Z,12,6,4,90.0,9999,1027,VFR
SPRU,SPRU 150100Z 14007KT 4300 BR NSC 19/16 Q1012 RMK PP000,2025-05-15 02:01:02.133480,2025-05-15T01:00:00Z,19,16,7,140.0,4300,1012,IFR
SPZO,SPZO 150130Z VRB01KT 9999 NSC 11/04 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 02:01:02.633493,2025-05-15T01:30:00Z,11,4,1,,9999,1032,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 02:01:03.232420,2025-05-14T23:00:00Z,17,10,7,130.0,9999,1024,VFR
SPQU,SPQU 150200Z 09005KT CAVOK 12/05 Q1027 NOSIG RMK PP000,2025-05-15 03:01:11.190999,2025-05-15T02:00:00Z,12,5,5,90,9999,1027,VFR
SPRU,SPRU 150200Z 16007KT 4100 BR NSC 18/16 Q1012 RMK PP000,2025-05-15 03:01:11.806457,2025-05-15T02:00:00Z,18,16,7,160,4100,1012,IFR
SPZO,SPZO 150230Z 29005KT 9999 NSC 09/04 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 03:01:12.251723,2025-05-15T02:30:00Z,9,4,5,290,9999,1033,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 03:01:12.842158,2025-05-14T23:00:00Z,17,10,7,130,9999,1024,VFR
SPQU,SPQU 150300Z 01003KT CAVOK 13/01 Q1027 NOSIG RMK PP000,2025-05-15 04:01:21.250497,2025-05-15T03:00:00Z,13,1,3,10,9999,1027,VFR
SPRU,SPRU 150300Z 15005KT 120V180 3800 BR NSC 18/17 Q1013 RMK PP000,2025-05-15 04:01:21.833854,2025-05-15T03:00:00Z,18,17,5,150,3800,1013,IFR
SPZO,SPZO 150330Z 28002KT 9999 NSC 07/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 04:01:22.267074,2025-05-15T03:30:00Z,7,3,2,280,9999,1033,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 04:01:22.784349,2025-05-14T23:00:00Z,17,10,7,130,9999,1024,VFR
SPQU,SPQU 150400Z 36003KT 320V030 CAVOK 12/00 Q1027 RMK PP000,2025-05-15 05:01:31.176116,2025-05-15T04:00:00Z,12,0,3,360,9999,1027,VFR
SPRU,SPRU 150400Z 14006KT 4000 BR NSC 18/16 Q1013 RMK PP000,2025-05-15 05:01:31.668355,2025-05-15T04:00:00Z,18,16,6,140,4000,1013,IFR
SPZO,SPZO 150430Z 28002KT 9999 NSC 06/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 05:01:32.102554,2025-05-15T04:30:00Z,6,3,2,280,9999,1033,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 05:01:32.731116,2025-05-14T23:00:00Z,17,10,7,130,9999,1024,VFR
SPQU,SPQU 150500Z VRB02KT CAVOK 12/01 Q1027 RMK PP000,2025-05-15 06:01:40.397392,2025-05-15T05:00:00Z,12,1,2,,9999,1027,VFR
SPRU,SPRU 150500Z 15007KT 4100 BR NSC 18/16 Q1014 RMK PP000,2025-05-15 06:01:40.886300,2025-05-15T05:00:00Z,18,16,7,150.0,4100,1014,IFR
SPZO,SPZO 150530Z 00000KT 9999 NSC 06/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 06:01:41.388278,2025-05-15T05:30:00Z,6,3,0,0.0,9999,1033,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 06:01:41.905847,2025-05-14T23:00:00Z,17,10,7,130.0,9999,1024,VFR
SPQU,SPQU 150600Z VRB02KT CAVOK 12/M00 Q1026 RMK PP000,2025-05-15 07:01:49.328340,2025-05-15T06:00:00Z,12,0,2,,9999,1026,VFR
SPRU,SPRU 150600Z 15006KT 3500 BR NSC 18/16 Q1013 RMK PP000,2025-05-15 07:01:49.770336,2025-05-15T06:00:00Z,18,16,6,150.0,3500,1013,IFR
SPZO,SPZO 150600Z VRB02KT 9999 NSC 06/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 07:01:50.250095,2025-05-15T06:00:00Z,6,3,2,,9999,1033,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 07:01:50.964007,2025-05-14T23:00:00Z,17,10,7,130.0,9999,1024,VFR
SPQU,SPQU 150700Z 29002KT CAVOK 12/02 Q1026 RMK PP000,2025-05-15 08:01:58.830606,2025-05-15T07:00:00Z,12,2,2,290,9999,1026,VFR
SPRU,SPRU 150700Z 14005KT 3500 BR NSC 18/16 Q1013 RMK PP000,2025-05-15 08:01:59.724494,2025-05-15T07:00:00Z,18,16,5,140,3500,1013,IFR
SPZO,SPZO 150800Z 10001KT 9999 NSC 05/03 Q1032 NOSIG RMK PP000,2025-05-15 08:02:00.242127,2025-05-15T08:00:00Z,5,3,1,100,9999,1032,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 08:02:01.904701,2025-05-14T23:00:00Z,17,10,7,130,9999,1024,VFR
SPQU,SPQU 150800Z 34004KT CAVOK 10/01 Q1026 RMK PP000,2025-05-15 09:02:11.964831,2025-05-15T08:00:00Z,10,1,4,340,9999,1026,VFR
SPRU,SPRU 150800Z 14005KT 3100 BR NSC 18/16 Q1012 RMK PP000,2025-05-15 09:02:12.470760,2025-05-15T08:00:00Z,18,16,5,140,3100,1012,IFR
SPZO,SPZO 150800Z 10001KT 9999 NSC 05/03 Q1032 NOSIG RMK PP000,2025-05-15 09:02:13.433575,2025-05-15T08:00:00Z,5,3,1,100,9999,1032,VFR
SPJR,SPJR 142300Z 13007KT 9999 FEW020 17/10 Q1024 RMK PP000,2025-05-15 09:02:17.863981,2025-05-14T23:00:00Z,17,10,7,130,9999,1024,VFR
SPQU,SPQU 151000Z 36004KT CAVOK 10/00 Q1025 RMK PP000,2025-05-15 10:02:26.642299,2025-05-15T10:00:00Z,10,0,4,360.0,9999,1025,VFR
SPRU,SPRU 151000Z 16004KT 1800 BR NSC 17/16 Q1012 RMK PP000,2025-05-15 10:02:27.076243,2025-05-15T10:00:00Z,17,16,4,160.0,1800,1012,IFR
SPZO,SPZO 151000Z 00000KT 9999 NSC 04/02 Q1033 NOSIG RMK PP000,2025-05-15 10:02:27.575889,2025-05-15T10:00:00Z,4,2,0,0.0,9999,1033,VFR
SPJR,SPJR 151000Z VRB01KT CAVOK 08/07 Q1027 RMK PP000,2025-05-15 10:02:28.150591,2025-05-15T10:00:00Z,8,7,1,,9999,1027,VFR
SPQU,SPQU 151100Z 35006KT CAVOK 11/M01 Q1025 RMK PP000,2025-05-15 11:02:35.771935,2025-05-15T11:00:00Z,11,-1,6,350,9999,1025,VFR
SPRU,SPRU 151100Z 12002KT 1600 BR SCT002 17/16 Q1012 RMK PP000,2025-05-15 11:02:37.788810,2025-05-15T11:00:00Z,17,16,2,120,1600,1012,LIFR
SPZO,SPZO 151100Z 07003KT 9999 NSC 03/01 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 11:02:39.083767,2025-05-15T11:00:00Z,3,1,3,70,9999,1034,VFR
SPJR,SPJR 151100Z 36002KT CAVOK 08/07 Q1027 RMK PP000,2025-05-15 11:02:39.558700,2025-05-15T11:00:00Z,8,7,2,360,9999,1027,VFR
SPQU,SPQU 151100Z 35006KT CAVOK 11/M01 Q1025 RMK PP000,2025-05-15 12:02:47.279515,2025-05-15T11:00:00Z,11,-1,6,350,9999,1025,VFR
SPRU,SPRU 151100Z 12002KT 1600 BR SCT002 17/16 Q1012 RMK PP000,2025-05-15 12:02:47.974636,2025-05-15T11:00:00Z,17,16,2,120,1600,1012,LIFR
SPZO,SPZO 151130Z 10002KT 9999 SCT040 04/02 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 12:02:48.485190,2025-05-15T11:30:00Z,4,2,2,100,9999,1034,VFR
SPJR,SPJR 151130Z 36002KT CAVOK 07/07 Q1027,2025-05-15 12:02:49.102431,2025-05-15T11:30:00Z,7,7,2,360,9999,1027,VFR
SPQU,SPQU 151200Z 01003KT 320V110 CAVOK 13/M01 Q1026 NOSIG RMK TN7.7 PP000,2025-05-15 13:02:56.651660,2025-05-15T12:00:00Z,13,-1,3,10.0,9999,1026,VFR
SPRU,SPRU 151200Z 16004KT 3000 BR NSC 17/16 Q1012 RMK TN17.2 PP000,2025-05-15 13:02:57.145451,2025-05-15T12:00:00Z,17,16,4,160.0,3000,1012,IFR
SPZO,SPZO 151230Z VRB02KT 9999 FEW025 BKN040 OVC070 07/04 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-15 13:02:57.668604,2025-05-15T12:30:00Z,7,4,2,,9999,1034,VFR
SPJR,SPJR 151230Z 00000KT CAVOK 11/08 Q1028,2025-05-15 13:02:58.116406,2025-05-15T12:30:00Z,11,8,0,0.0,9999,1028,VFR
SPQU,SPQU 151400Z 23005KT 200V270 CAVOK 18/01 Q1027 NOSIG RMK PP000,2025-05-15 14:03:05.783465,2025-05-15T14:00:00Z,18,1,5,230.0,9999,1027,VFR
SPRU,SPRU 151400Z 16004KT 110V190 3000 BR NSC 19/17 Q1013 RMK PP000,2025-05-15 14:03:06.413849,2025-05-15T14:00:00Z,19,17,4,160.0,3000,1013,IFR
SPZO,SPZO 151400Z VRB02KT 9999 FEW030 BKN040 OVC070 10/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 14:03:06.961479,2025-05-15T14:00:00Z,10,4,2,,9999,1035,VFR
SPJR,SPJR 151330Z VRB02KT CAVOK 15/08 Q1028,2025-05-15 14:03:08.327165,2025-05-15T13:30:00Z,15,8,2,,9999,1028,VFR
SPQU,SPQU 151500Z 27007KT 230V290 CAVOK 19/M01 Q1027 NOSIG RMK PP000,2025-05-15 15:03:15.926411,2025-05-15T15:00:00Z,19,-1,7,270.0,9999,1027,VFR
SPRU,SPRU 151500Z 19007KT 7000 NSC 19/17 Q1013 RMK PP000,2025-05-15 15:03:16.409876,2025-05-15T15:00:00Z,19,17,7,190.0,7000,1013,MVFR
SPZO,SPZO 151500Z VRB03KT 9999 SCT040 BKN080 14/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 15:03:16.898914,2025-05-15T15:00:00Z,14,4,3,,9999,1035,VFR
SPJR,SPJR 151500Z VRB04KT CAVOK 18/09 Q1028 RMK PP000,2025-05-15 15:03:17.347533,2025-05-15T15:00:00Z,18,9,4,,9999,1028,VFR
SPQU,SPQU 151600Z 25008KT 210V300 CAVOK 19/01 Q1026 NOSIG RMK PP000,2025-05-15 16:03:24.937782,2025-05-15T16:00:00Z,19,1,8,250.0,9999,1026,VFR
SPRU,SPRU 151600Z 19007KT 9000 NSC 20/17 Q1013 RMK BCFG N PP000,2025-05-15 16:03:25.436307,2025-05-15T16:00:00Z,20,17,7,190.0,9000,1013,VFR
SPZO,SPZO 151600Z VRB04KT 9999 FEW043 16/04 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 16:03:25.868263,2025-05-15T16:00:00Z,16,4,4,,9999,1034,VFR
SPJR,SPJR 151600Z VRB04KT 9999 FEW025 20/09 Q1028 RMK PP000,2025-05-15 16:03:26.303724,2025-05-15T16:00:00Z,20,9,4,,9999,1028,VFR
SPQU,SPQU 151700Z 26009KT 220V300 CAVOK 18/03 Q1026 NOSIG RMK PP000,2025-05-15 17:03:34.623614,2025-05-15T17:00:00Z,18,3,9,260,9999,1026,VFR
SPRU,SPRU 151700Z 19008KT 9000 NSC 20/17 Q1013 RMK HORIZONTE BRUMOSO PP000,2025-05-15 17:03:35.110785,2025-05-15T17:00:00Z,20,17,8,190,9000,1013,VFR
SPZO,SPZO 151700Z 03005KT 330V080 9999 NSC 17/03 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 17:03:35.606446,2025-05-15T17:00:00Z,17,3,5,30,9999,1032,VFR
SPJR,SPJR 151700Z 17007KT 130V210 9999 FEW025 22/09 Q1027 RMK PP000,2025-05-15 17:03:36.050829,2025-05-15T17:00:00Z,22,9,7,170,9999,1027,VFR
SPQU,SPQU 151800Z 24007KT 210V280 CAVOK 18/04 Q1025 NOSIG RMK PP000,2025-05-15 18:03:43.636924,2025-05-15T18:00:00Z,18,4,7,240.0,9999,1025,VFR
SPRU,SPRU 151800Z 19009KT 9999 FEW015 20/17 Q1012 RMK PP000,2025-05-15 18:03:44.168268,2025-05-15T18:00:00Z,20,17,9,190.0,9999,1012,VFR
SPZO,SPZO 151800Z VRB03KT 9999 NSC 20/M01 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 18:03:44.676733,2025-05-15T18:00:00Z,20,-1,3,,9999,1030,VFR
SPJR,SPJR 151800Z 12007KT 030V180 9999 FEW025 22/08 Q1026 RMK PP000,2025-05-15 18:03:45.119261,2025-05-15T18:00:00Z,22,8,7,120.0,9999,1026,VFR
SPQU,SPQU 151900Z 27009KT 220V300 CAVOK 18/04 Q1025 NOSIG RMK PP000,2025-05-15 19:03:54.242449,2025-05-15T19:00:00Z,18,4,9,270.0,9999,1025,VFR
SPRU,SPRU 151900Z 17007KT 130V200 9999 FEW015 21/17 Q1011 RMK PP000,2025-05-15 19:03:54.743266,2025-05-15T19:00:00Z,21,17,7,170.0,9999,1011,VFR
SPZO,SPZO 151900Z VRB06KT 9999 NSC 21/M02 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 19:03:55.223416,2025-05-15T19:00:00Z,21,-2,6,,9999,1029,VFR
SPJR,SPJR 151900Z 15005KT 100V220 9999 SCT025 23/06 Q1025 RMK PP000,2025-05-15 19:03:55.661755,2025-05-15T19:00:00Z,23,6,5,150.0,9999,1025,VFR
SPQU,SPQU 152000Z 24007KT 170V330 CAVOK 18/05 Q1025 NOSIG RMK PP000,2025-05-15 20:04:03.336624,2025-05-15T20:00:00Z,18,5,7,240,9999,1025,VFR
SPRU,SPRU 152000Z 17008KT 9000 NSC 20/17 Q1011 RMK PP000,2025-05-15 20:04:03.776011,2025-05-15T20:00:00Z,20,17,8,170,9000,1011,VFR
SPZO,SPZO 152000Z 36006KT 310V040 9999 NSC 21/M10 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 20:04:04.214171,2025-05-15T20:00:00Z,21,-10,6,360,9999,1028,VFR
SPJR,SPJR 152000Z 08006KT 030V110 9999 SCT025 22/06 Q1024 RMK PP000,2025-05-15 20:04:04.721502,2025-05-15T20:00:00Z,22,6,6,80,9999,1024,VFR
SPQU,SPQU 152100Z 26008KT 220V290 CAVOK 16/05 Q1025 NOSIG RMK PP000,2025-05-15 21:04:12.411349,2025-05-15T21:00:00Z,16,5,8,260.0,9999,1025,VFR
SPRU,SPRU 152100Z 17008KT CAVOK 20/17 Q1010 RMK PP000,2025-05-15 21:04:12.906293,2025-05-15T21:00:00Z,20,17,8,170.0,9999,1010,VFR
SPZO,SPZO 152100Z VRB08KT 9999 NSC 20/M11 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 21:04:13.398241,2025-05-15T21:00:00Z,20,-11,8,,9999,1028,VFR
SPJR,SPJR 152100Z 07005KT 040V100 9999 SCT025 22/07 Q1024 RMK PP000,2025-05-15 21:04:13.908256,2025-05-15T21:00:00Z,22,7,5,70.0,9999,1024,VFR
SPQU,SPQU 152200Z 26008KT 220V290 CAVOK 15/06 Q1025 NOSIG RMK TX20.1 PP000,2025-05-15 22:04:21.565578,2025-05-15T22:00:00Z,15,6,8,260,9999,1025,VFR
SPRU,SPRU 152200Z 15009KT 9000 NSC 20/17 Q1010 RMK TX20.1 PP000,2025-05-15 22:04:22.030659,2025-05-15T22:00:00Z,20,17,9,150,9000,1010,VFR
SPZO,SPZO 152200Z 04007KT 360V080 9999 NSC 19/M08 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 TX21.4 PP000,2025-05-15 22:04:22.675687,2025-05-15T22:00:00Z,19,-8,7,40,9999,1028,VFR
SPJR,SPJR 152200Z 17007KT 140V200 9999 FEW025 20/10 Q1024 RMK TX23.4 PP000,2025-05-15 22:04:23.111329,2025-05-15T22:00:00Z,20,10,7,170,9999,1024,VFR
SPQU,SPQU 152300Z 27004KT CAVOK 13/07 Q1026 NOSIG RMK PP000,2025-05-15 23:04:30.738135,2025-05-15T23:00:00Z,13,7,4,270,9999,1026,VFR
SPRU,SPRU 152300Z 16009KT 9999 SCT150 20/17 Q1010 RMK PP000,2025-05-15 23:04:31.170767,2025-05-15T23:00:00Z,20,17,9,160,9999,1010,VFR
SPZO,SPZO 152300Z 27008KT 240V300 9999 NSC 15/M05 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-15 23:04:31.608523,2025-05-15T23:00:00Z,15,-5,8,270,9999,1028,VFR
SPJR,SPJR 152300Z 09004KT 060V150 9999 FEW025 16/10 Q1025 RMK PP000,2025-05-15 23:04:32.105158,2025-05-15T23:00:00Z,16,10,4,90,9999,1025,VFR
SPQU,SPQU 160000Z VRB02KT CAVOK 12/08 Q1026 RMK PP000,2025-05-16 00:04:39.917399,2025-05-16T00:00:00Z,12,8,2,,9999,1026,VFR
SPRU,SPRU 160000Z 15006KT 9000 SCT150 19/17 Q1012 RMK PP000,2025-05-16 00:04:40.385300,2025-05-16T00:00:00Z,19,17,6,150.0,9000,1012,VFR
SPZO,SPZO 160000Z 24003KT 190V310 9999 NSC 14/M05 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-16 00:04:40.815401,2025-05-16T00:00:00Z,14,-5,3,240.0,9999,1030,VFR
SPJR,SPJR 152300Z 09004KT 060V150 9999 FEW025 16/10 Q1025 RMK PP000,2025-05-16 00:04:41.303480,2025-05-15T23:00:00Z,16,10,4,90.0,9999,1025,VFR
SPQU,SPQU 160100Z VRB02KT CAVOK 12/07 Q1027 RMK PP000,2025-05-16 01:04:48.923674,2025-05-16T01:00:00Z,12,7,2,,9999,1027,VFR
SPRU,SPRU 160100Z 14007KT 6000 BKN100 19/17 Q1012 RMK PP000,2025-05-16 01:04:49.385812,2025-05-16T01:00:00Z,19,17,7,140.0,6000,1012,MVFR
SPZO,SPZO 160100Z VRB02KT 9999 NSC 10/M03 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-16 01:04:49.815236,2025-05-16T01:00:00Z,10,-3,2,,9999,1031,VFR
SPJR,SPJR 152300Z 09004KT 060V150 9999 FEW025 16/10 Q1025 RMK PP000,2025-05-16 01:04:50.408493,2025-05-15T23:00:00Z,16,10,4,90.0,9999,1025,VFR
SPQU,SPQU 160200Z VRB02KT CAVOK 11/06 Q1027 RMK PP000,2025-05-16 02:04:58.153876,2025-05-16T02:00:00Z,11,6,2,,9999,1027,VFR
SPRU,SPRU 160200Z 13008KT 5000 BR BKN100 19/17 Q1013 RMK PP000,2025-05-16 02:04:58.580851,2025-05-16T02:00:00Z,19,17,8,130.0,5000,1013,MVFR
SPZO,SPZO 160200Z 08002KT 9999 NSC 08/M02 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-16 02:04:59.147205,2025-05-16T02:00:00Z,8,-2,2,80.0,9999,1032,VFR
SPJR,SPJR 152300Z 09004KT 060V150 9999 FEW025 16/10 Q1025 RMK PP000,2025-05-16 02:04:59.850729,2025-05-15T23:00:00Z,16,10,4,90.0,9999,1025,VFR
SPQU,SPQU 160300Z 04005KT CAVOK 11/05 Q1028 RMK PP000,2025-05-16 03:05:07.484130,2025-05-16T03:00:00Z,11,5,5,40,9999,1028,VFR
SPRU,SPRU 160300Z 13009KT 5000 BR BKN150 19/17 Q1014 RMK PP000,2025-05-16 03:05:07.918144,2025-05-16T03:00:00Z,19,17,9,130,5000,1014,MVFR
SPZO,SPZO 160300Z 27003KT 9999 NSC 07/02 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-16 03:05:08.354910,2025-05-16T03:00:00Z,7,2,3,270,9999,1032,VFR
SPJR,SPJR 152300Z 09004KT 060V150 9999 FEW025 16/10 Q1025 RMK PP000,2025-05-16 03:05:08.913927,2025-05-15T23:00:00Z,16,10,4,90,9999,1025,VFR
SPQU,SPQU 160400Z 02003KT CAVOK 11/06 Q1027 RMK PP000,2025-05-16 04:05:16.645034,2025-05-16T04:00:00Z,11,6,3,20.0,9999,1027,VFR
SPRU,SPRU 160400Z 13008KT 5000 BR BKN120 19/17 Q1014 RMK PP000,2025-05-16 04:05:17.111731,2025-05-16T04:00:00Z,19,17,8,130.0,5000,1014,MVFR
SPZO,SPZO 160400Z VRB01KT 9999 NSC 07/02 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-16 04:05:17.603990,2025-05-16T04:00:00Z,7,2,1,,9999,1033,VFR
